OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
114;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,294800000294000;236964,938800000000000;11,421501791000100;47,266389113999999
115;Spielplatz Lohbachufer;Lohbachufer;Sportplatz;Spielplatz;76394,122499999605000;236949,147900000010000;11,342503238000100;47,266968126999998
116;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,404599999994000;236958,717900001010000;11,421502098000101;47,266333154999998
117;Sporthalle HS Hötting West;Viktor-Franz-Hess-Straße 9;Sporthalle;Sporthalle;76567,178299999796000;236942,322799999000000;11,344788494000101;47,266886644000103
118;Eislaufplatz Sparkassenplatz;Sparkassenplatz;Eislaufplatz;Eissport;80354,852599999896000;236895,748800000000000;11,394822395000100;47,266016368000102
119;Skateplatz Amraser Hallenbad;Stadtpark Rapoldi;Skate-/Rollerbladeplatz;Funsport;81168,436700000399000;236841,426700000010000;11,405561275000100;47,265428028000102
120;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;81148,500599999898000;236812,150200000000000;11,405292589000100;47,265167198000100
121;Hallenbad Höttinger Au;Fürstenweg 12;Hallenbad;Schwimmen;79286,189100000105000;236791,628599999010000;11,380685167000101;47,265209572000103
122;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;81158,973899999604000;236785,489899999990000;11,405426127000100;47,264926148000100
123;Sportanlage HS Hötting;Fürstenweg 13;Sportplatz;Spielplatz;79407,474700000093000;236743,632799999990000;11,382279021000000;47,264763319000103
124;Spielplatz Kranewitterstraße;Kranewitterstraße;Sportplatz;Spielplatz;82268,303899999693000;236763,862400001000000;11,420077777000101;47,264593947000002
125;Sportanlage HS Hötting;Fürstenweg 13;Sporthalle;Sporthalle;79356,157999999807000;236751,006300000010000;11,381602365000001;47,264835818000101
126;Streetballplatz Arthur-Haidl-Promenade 1;Prandtauerufer;Streetballplatz;Funsport;79443,017500000104000;236732,972999999010000;11,382746700000000;47,264663165000101
127;Spielplatz Ursulinenpark;Ursulinenweg;Basketballplatz;Funsport;78138,313000000097000;236586,807299999990000;11,365484280000100;47,263504805000103
128;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sportplatz;Spielplatz;78409,447499999806000;236444,625700000990000;11,369041389000101;47,262193899000103
129;Fitness- und Karatecenter Haslwanter;Reimmichlgasse 9;Fitnesscenter;Fitness/Klettern;78336,462700000004000;236480,358100001000000;11,368083449000000;47,262523936000001
130;Tennisplatz Kranebitter Allee;Kranebitter Allee;Tennisplatz;Tennis/Squash;76913,082600000300000;236474,403800000000000;11,349278287000100;47,262638193999997
131;Innsbrucker Taekwon-do-Center;Andreas-Hofer-Straße 5;Fitnesscenter;Fitness/Klettern;80113,809100000202000;236417,931299999010000;11,391552405000100;47,261748652999998
132;Streetballplatz Arthur-Haidl-Promenade 2;Fischnalerstraße;Streetballplatz;Funsport;79242,201799999893000;236392,088800000000000;11,380033388000101;47,261621726000001
133;Sporthalle HS Müllerstraße;Müllerstraße 38;Sporthalle;Sporthalle;79846,225499999695000;236386,564999999010000;11,388011886000101;47,261499076000099
134;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81278,120000000097000;236345,420700001010000;11,406920389000000;47,260953850000099
135;Sporthalle HS Dr.-Fritz-Prior;Leopoldstraße 15;Sporthalle;Sporthalle;80510,495599999995000;236343,652299999990000;11,396779504000101;47,261032262000100
136;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81385,249800000296000;236306,487700000000000;11,408328534000100;47,260590487000101
137;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81290,309899999804000;236303,590399999000000;11,407073834000100;47,260576160000099
138;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81412,532399999895000;236270,303799999990000;11,408682371000101;47,260261706999998
139;Sporthalle VS Angergasse;Angergasse 18;Sporthalle;Sporthalle;78450,468200000003000;236255,034700001010000;11,369550121000101;47,260483976000003
140;Spielplatz Angergasse;Angergasse;Sportplatz;Spielplatz;78482,295900000303000;236195,259599999990000;11,369960110000100;47,259942611000000
141;Eisschützenclub Tivoli;Bleichenweg 54;Bocciabahn;Sonstiges;83382,336000000098000;236201,323899999000000;11,434690689000099;47,259394842000098
142;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81401,727099999800000;236189,143300000990000;11,408524892000100;47,259533157000099
143;Sporthalle VS Amras;Kirchsteig 8;Sporthalle;Sporthalle;82931,031499999604000;236094,944200000000000;11,428709363999999;47,258495165000099
144;Boccia-/Stockschießanlage Wilten West / Besele II;Innerkoflerstraße 11c;Bocciabahn;Sonstiges;79573,823200000494000;236064,822200000000000;11,384356195000100;47,258638558000101
145;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sportplatz;Spielplatz;79029,323900000207000;236048,678099999000000;11,377160604000000;47,258558945000097
146;Boccia-/Stockschießanlage Wilten West / Besele I;Innerkoflerstraße 11b;Bocciabahn;Sonstiges;79557,327100000301000;236057,823600000000000;11,384137043000100;47,258577611000099
147;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sporthalle;Sporthalle;78996,962799999907000;236051,936000001010000;11,376733693000100;47,258592127000000
148;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77760,179300000003000;236056,134199999010000;11,360396655000001;47,258777090000102
149;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77570,055700000405000;236038,158500001010000;11,357882021000099;47,258637853000003
150;Olympiahalle;Olympiastraße 10;Eishalle;Eissport;81480,382399999493000;236010,723399999990000;11,409531491000100;47,257918875000101
151;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77554,301900000297000;236031,772999999990000;11,357672809000100;47,258582282000098
152;Tiroler Wasserkraft Arena;Olympiastraße 10;Eishalle;Eissport;81561,526899999895000;236017,270900000000000;11,410604562000101;47,257967710999999
153;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77771,676500000103000;236027,978100000010000;11,360543648000100;47,258522517000102
154;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77538,581500000306000;236025,452299998990000;11,357464051000100;47,258527289000099
155;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77753,767400000201000;236026,129599999990000;11,360306750000101;47,258508008000000
156;Spielplatz Pechegarten;Pechestraße;Sportplatz;Spielplatz;80682,374499999903000;236033,461500000000000;11,398994251000101;47,258221628000101
157;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77727,893799999700000;236023,462900000010000;11,359964501000100;47,258487080000101
158;Fußballplatz Wilten West / Besele;Innerkoflerstraße 11;Fußballplatz;Fußball/Football;79543,644100000194000;235994,704200000010000;11,383945093000101;47,258011619000101
159;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77709,973799999803000;236021,627699998990000;11,359727461000100;47,258472691000101
160;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77522,920599999794000;236019,084799998990000;11,357256071000100;47,258471868000100
161;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77688,127799999900000;236009,373600001010000;11,359436755000001;47,258365064000103
162;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;77415,126899999595000;235990,569499998990000;11,355827205000100;47,258228103000100
163;Tennis- und Squashhallen West;Fürstenweg 172;Squashhalle;Tennis/Squash;77440,304600000396000;235996,955499998990000;11,356160901000100;47,258282574000098
164;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77552,426500000103000;235991,372600000000000;11,357641047000101;47,258219171000100
165;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77536,685399999798000;235985,068399999000000;11,357432020000100;47,258164329000103
166;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77753,307599999898000;235976,816299998990000;11,360292124000100;47,258064574999999
167;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77715,010499999902000;235972,890799999000000;11,359785547000101;47,258033791999999
168;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77692,122399999804000;235970,517100000990000;11,359482790000101;47,258015145999998
169;Landessportcenter Tirol;Olympiastraße 10a;Hallenbad;Schwimmen;81606,144899999694000;235966,638100000010000;11,411184728000100;47,257506836000097
170;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;77441,418700000300000;235955,794199999010000;11,356168508000099;47,257912267999998
171;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;81439,519000000306000;235929,461799999990000;11,408976942000001;47,257193135000101
172;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;81506,830000000104000;235918,935200000010000;11,409864162000099;47,257090139000098
173;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77647,342199999795000;235919,645599999990000;11,358882444000100;47,257562925999999
174;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77605,245199999801000;235852,940300001010000;11,358314811000101;47,256967989000103
175;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77655,444799999706000;235858,434800001010000;11,358978874000099;47,257011485000099
176;Spielplatz Mitterweg;Mitterweg;Sportplatz;Spielplatz;78551,322300000102000;235883,853700001000000;11,370817399000099;47,257133834000101
177;Spielplatz Mitterweg;Mitterweg;Skate-/Rollerbladeplatz;Funsport;78536,028699999704000;235876,727499998990000;11,370614130000099;47,257071570000100
178;Universitätssportanlagen;Fürstenweg 185;Hallenbad;Schwimmen;77407,804200000101000;235874,495800000000000;11,355710433000100;47,257185080000099
179;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77544,340699999593000;235817,761700000990000;11,357504208000099;47,256658792000103
180;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77721,889600000301000;235857,411499999000000;11,359856400000099;47,256994444000000
181;Tivoli Stadion;Stadionstraße 1-1b;Fußballplatz;Fußball/Football;81604,922100000098000;235807,466399998990000;11,411139601000100;47,256075537000100
182;Universitätssportanlagen;Fürstenweg 185;Schießstandhalle;Sonstiges;77347,696499999598000;235848,584899999000000;11,354911966000101;47,256959119000001
183;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77306,945200000002000;235810,477700001010000;11,354367091000100;47,256621195000001
184;Kletterzentrum Tivoli;Stadionstraße 1;Kletterhalle;Fitness/Klettern;81675,912299999996000;235838,919100000000000;11,412083045000101;47,256349593000003
185;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77474,425499999896000;235846,265099999990000;11,356585593000100;47,256923360000101
186;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77480,694899999493000;235835,910999999990000;11,356666620000100;47,256829504999999
187;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77482,114000000103000;235822,360699999990000;11,356683024000100;47,256707476000102
188;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77372,638100000098000;235805,401000001000000;11,355233981000101;47,256567824000101
189;Olympiaworld;Olympiastraße 10;Fußballplatz;Fußball/Football;81501,650299999907000;235783,780999999000000;11,409771172000100;47,255875321000097
190;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77449,948099999703000;235812,884199999010000;11,356256493000000;47,256626035000103
191;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77413,350700000301000;235817,723800000010000;11,355773898000100;47,256673862000099
192;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;81032,015200000300000;235791,465600001010000;11,403569134000101;47,256002388000098
193;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;77417,641300000294000;235800,951500000000000;11,355827678000100;47,256522519999997
194;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77478,367800000095000;235773,953700000010000;11,356625173999999;47,256272578999997
195;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77164,632899999604000;235766,806000000010000;11,352479709000100;47,256245132000103
196;Universitätssportanlagen;Fürstenweg 185;Skate-/Rollerbladeplatz;Funsport;77125,298200000107000;235775,551600000010000;11,351961628000099;47,256328391000103
197;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77430,286700000099000;235762,565600000000000;11,355988088000100;47,256175818000102
198;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77385,708899999998000;235758,452299998990000;11,355398535000100;47,256144065000100
199;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77086,355600000403000;235766,068900000010000;11,351445590000100;47,256247670000100
200;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;81039,546000000104000;235754,739899999990000;11,403661970000099;47,255671182000100
201;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77074,302699999898000;235764,058700001010000;11,351286034000100;47,256231002000099
202;Fitnessparkour Amras;Tummelplatzweg;Fitnessparkour;Fitness/Klettern;82812,821299999996000;235648,659000000010000;11,427065414000101;47,254496566999997
203;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77062,244199999594000;235762,047300000010000;11,351126403000100;47,256214323999998
204;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77119,981100000397000;235751,553200001010000;11,351887265000100;47,256113189000096
205;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;77111,142400000201000;235741,102000000010000;11,351768714000100;47,256020234000097
206;Sportanlage Hans-Flöckinger-Promenade;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;77509,615000000194000;235737,376900000990000;11,357031606000101;47,255939957000102
207;Sportanlage Hans-Flöckinger-Promenade;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;77469,888000000297000;235733,312899999000000;11,356506140000100;47,255908083000101
208;Sportanlage Hans-Flöckinger-Promenade;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;77424,060499999701000;235720,389300000010000;11,355898561000100;47,255797246000000
209;Olympiaworld;Olympiastraße 10;Beachvolleyballplatz;Funsport;81524,065700000196000;235714,425300000000000;11,410054645000100;47,255248822000098
210;Sportanlage Hans-Flöckinger-Promenade;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;77504,101900000096000;235716,152200000010000;11,356955113000099;47,255749725999998
211;Sportanlage Hans-Flöckinger-Promenade;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;77479,699799999595000;235713,636100000000000;11,356632346000101;47,255729970000097
212;Funsportzentrum Innsbruck;Paschbergweg 3;Sporthalle;Sporthalle;81324,227800000503000;235548,351199998990000;11,407384890000101;47,253780004000099
213;Sportplatz Stift Wilten;Klostergasse;Sportplatz;Spielplatz;80782,224600000307000;235574,107300000000000;11,400230466000000;47,254078341000103
214;Sportanlage PÄDAK;Pastorstraße 7;Leichtathletikanlage;Sonstiges;80464,114099999904000;235418,988000000010000;11,396000829000100;47,252722271000003
215;Sportanlage PÄDAK;Pastorstraße 7;Sportplatz;Spielplatz;80439,962199999994000;235419,384900000000000;11,395681895000100;47,252728791000003
216;Sportanlage PÄDAK;Pastorstraße 7;Sportplatz;Spielplatz;80423,784400000193000;235385,360500000010000;11,395462111000100;47,252424779000101
217;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Fußballplatz;Fußball/Football;77397,332200000106000;235350,921899999990000;11,355481733000101;47,252477661000100
218;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Sportplatz;Spielplatz;77480,992999999798000;235355,123199999010000;11,356587484000000;47,252505609000103
219;Sporthalle VS Sieglanger;Weingartnerstraße 26;Sporthalle;Sporthalle;78230,931400000103000;235345,469199999990000;11,366491264000000;47,252330143000101
220;Sprungschanze Bergisel;Bergisel;Sprungschanze;Wintersport;80738,546699999803000;234969,791200001000000;11,399544740000101;47,248648983000102
221;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;77435,909599999897000;234944,450900000000000;11,355921102000099;47,248817615000100
222;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;77400,828399999999000;234933,904899999990000;11,355455947999999;47,248726894000100
223;Spielplatz Grillhof;Grillhofweg 100;Sportplatz;Spielplatz;81338,442499999903000;234083,178099999000000;11,407306949000100;47,240601728000101
224;Sporthalle VS Innsbruck-Igls;Habichtstraße 9;Sporthalle;Sporthalle;81319,468999999604000;233145,480400000000000;11,406886495000000;47,232171198000103
225;Schießstand Igls;Igler Straße 58a;Schießstandhalle;Sonstiges;81288,131599999993000;232906,803400000990000;11,406429525000100;47,230028599000001
226;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;81817,107400000095000;232792,169100000000000;11,413392481000100;47,228932222000097
227;Eislaufplatz / Beachvolleyballplatz Igls;nahe Bilgeristraße 24;Eislauf-/Beachvolleyballpl.;Funsport;81854,040400000304000;232813,571399999990000;11,413883984000099;47,229120110000103
228;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;82213,223700000002000;232609,738099999990000;11,418588717000100;47,227242302000001
229;Reitarena Innsbruck-Igls;Römerstraße 50;Reitanlage;Sonstiges;82822,873300000094000;232645,274000000000000;11,426643766000000;47,227485558000097
